musculo_crudo,musculo_normalizado,tipo,articulacion_borrador,movimiento_borrador,contraste_wikipedia,articulacion_principal,movimiento,fuente,url_fuente,fecha_consulta,notas
abdominals,abdominals,musculo,columna vertebral (lumbar),flexión del tronco,Flexion of the lumbar spine,columna vertebral (lumbar),flexión del tronco,"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Rectus_abdominis_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
abductors,abductors,musculo,cadera,abducción de cadera,Abduction of the hip; preventing adduction of the hip. Medial/internal rotation and flexion of the hip (anterior fibers). Extension and lateral/external rotation of the hip (posterior fibers),cadera,abducción de cadera (fascículo anterior también rota internamente/flexiona; posterior extiende/rota externamente),"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Gluteus_medius,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
abs,abdominals,musculo,columna vertebral (lumbar),flexión del tronco,Flexion of the lumbar spine,columna vertebral (lumbar),flexión del tronco,"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Rectus_abdominis_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
adductors,adductors,musculo,cadera,aducción de cadera,Adduction of hip,cadera,aducción de cadera,"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Adductor_muscles_of_the_hip,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
ankle stabilizers,ankle stabilizers,musculo,tobillo,inversión/eversión — estabilización,,Foot (Intertarsal) — distinta de 'Ankle' (que solo cubre flexión plantar/dorsiflexión),Inversión: tibial anterior + tibial posterior. Eversión: peroneus longus/brevis/tertius. El peroneus longus y el tibial posterior también contribuyen a la flexión plantar.,"ExRx.net — Joint Articulations (Foot/Intertarsal) + Muscle Directory, vía Claude en Chrome",https://exrx.net/Articulations/Foot,2026-09-13,"ExRx no tiene categoría de ejercicios propia para estos músculos -- Gastrocnemius, Soleus, Tibialis Anterior y Popliteus son los únicos en el Muscle Directory bajo 'tobillo/pie', y los peroneos quedan mezclados dentro de 'Calves' sin subcategoría. La articulación real es 'Foot (Intertarsal)', no 'Ankle'."
ankles,ankles,"revisar — región o sistema, no músculo discreto",,,,,,,,,"articulación, no músculo"
back,back,"revisar — región o sistema, no músculo discreto",,,,,,,,,"región compuesta — ver lats/traps/rhomboids/lower back por separado | Se descompone (ExRx) en: Espalda General, Dorsal Ancho y Redondo Mayor (latissimus dorsi), Trapecio Superior y Elevador de la Escápula, Trapecio Medio/Inferior, Rombos, Infraespinoso/Redondo Menor/Subescapular (rotator cuff), Erector de la Columna (lower back) -- todos ya presentes como filas propias en esta tabla."
biceps,biceps,musculo,codo,flexión de codo (+ supinación del antebrazo),Flexes elbow flexes and abducts shoulder supinates radioulnar joint in the forearm,codo (secundariamente hombro),flexión de codo + supinación del antebrazo; secundariamente flexiona/abduce el hombro,"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Biceps_brachii_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
brachialis,brachialis,musculo,codo,flexión de codo,Flexion at elbow joint,codo,flexión de codo,"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Brachialis_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
calves,calves,musculo,tobillo y rodilla (biarticular),flexión plantar de tobillo + flexión de rodilla (gastrocnemio),"Plantar flexes foot, flexes knee",tobillo y rodilla (biarticular),flexión plantar de tobillo + flexión de rodilla (gastrocnemio),"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Gastrocnemius_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
cardiovascular system,cardiovascular system,"revisar — región o sistema, no músculo discreto",,,,,,,,,"sistema, no músculo — excluir del mapeo"
chest,chest,"revisar — región o sistema, no músculo discreto",,,,,,,,,"región compuesta — ver pectorals/upper chest | Se descompone (ExRx) en: Pectoral Mayor esternal (pectorals), Pectoral Mayor clavicular (upper chest), Pectoral Menor, Serrato Anterior -- ya presentes como filas propias."
core,core,"revisar — región o sistema, no músculo discreto",,,,,,,,,"región compuesta (recto abdominal, oblicuos, transverso...) | Se descompone (ExRx) en: Recto Abdominal (abdominals), Transverso Abdominal (no está en el catálogo propio todavía), Oblicuos, Cuadrado Lumbar y Erector de la Columna (lower back) -- la mayoría ya presente como filas propias."
deltoids,deltoids,musculo,hombro,"abducción (fascículo lateral) — varía por fascículo, ver notas","Shoulder abduction, flexion and extension",hombro,abducción (fascículo lateral); flexión (anterior) y extensión (posterior),"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Deltoid_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
delts,deltoids,musculo,hombro,"abducción (fascículo lateral) — varía por fascículo, ver notas","Shoulder abduction, flexion and extension",hombro,abducción (fascículo lateral); flexión (anterior) y extensión (posterior),"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Deltoid_muscle,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
feet,feet,"revisar — región o sistema, no músculo discreto",,,,,,,,,"región, no músculo"
forearms,forearms,musculo,muñeca,flexión/extensión de muñeca y dedos (grupo general),,muñeca y radiocubital (compuesto — dos articulaciones distintas),muñeca: flexión/extensión (Flexores/Extensores de Muñeca); radiocubital: pronación/supinación (Pronadores/Supinadores),ExRx.net Exercise Directory (consultado por el usuario),https://exrx.net/Lists/Directory,2026-09-13,ExRx (Exercise Directory) separa Antebrazos en 4 grupos que actúan en DOS articulaciones distintas: muñeca (Flexores/Extensores de Muñeca) y radiocubital (Pronadores/Supinadores). 'forearms' en el catálogo es una etiqueta compuesta -- no forzar una sola articulación.
glutes,glutes,musculo,cadera,extensión de cadera,"External rotation and extension of the hip joint, supports the extended knee through the iliotibial tract, chief antigravity muscle in sitting and abduction of the hip",cadera,extensión de cadera (principal); también rotación externa y abducción,"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Gluteus_maximus,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
grip muscles,grip muscles,musculo,mano / dedos,flexión de dedos (agarre),,muñeca / dedos,"flexión de agarre — ExRx no lo trata como categoría propia, lo incluye dentro de 'Flexores de Muñeca'",ExRx.net Exercise Directory (consultado por el usuario en su navegador),https://exrx.net/Lists/Directory,2026-09-13,
groin,groin,musculo,cadera,aducción de cadera (sinónimo informal de adductors),Adduction of hip,cadera,aducción de cadera (sinónimo informal de adductors),"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Adductor_muscles_of_the_hip,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
hamstrings,hamstrings,musculo,cadera y rodilla (biarticular),extensión de cadera + flexión de rodilla,"flexion of knee, extension of hip",cadera y rodilla (biarticular),extensión de cadera + flexión de rodilla,"Wikipedia — Infobox muscle (campo Action), API MediaWiki",https://en.wikipedia.org/wiki/Hamstring,2026-09-13,Confirmado: borrador de kinesiología y ficha de Wikipedia coinciden. Pendiente citar ExRx.net si se requiere como fuente primaria del área.
hands,hands,"revisar — región o sistema, no músculo discreto",,,,,,,,,"región, no músculo"
